FileName;FunctionName;NumStackAllocations;NumEscapingStackAllocations;TotalAllocatedStackMemory;TotalEscapingAllocatedStackMemory
test;strcmp;0;0;0;0
test;pcre_fullinfo;0;0;0;0
test;dirfd;0;0;0;0
test;fputc_unlocked;0;0;0;0
test;sigemptyset;0;0;0;0
test;memcpy;0;0;0;0
test;__xstat;0;0;0;0
test;readdir;0;0;0;0
test;wcwidth;0;0;0;0
test;pcre_compile;0;0;0;0
test;re_set_syntax;0;0;0;0
test;iswalnum;0;0;0;0
test;pcre_jit_stack_alloc;0;0;0;0
test;malloc;0;0;0;0
test;wcrtomb;0;0;0;0
test;nl_langinfo;0;0;0;0
test;__fxstat;0;0;0;0
test;regexec;0;0;0;0
test;strcoll;0;0;0;0
test;re_search;0;0;0;0
test;fchdir;0;0;0;0
test;fwrite_unlocked;0;0;0;0
test;realloc;0;0;0;0
test;setlocale;0;0;0;0
test;__printf_chk;0;0;0;0
test;mempcpy;0;0;0;0
test;memmove;0;0;0;0
test;error;0;0;0;0
test;memrchr;0;0;0;0
test;pcre_study;0;0;0;0
test;open;0;0;0;0
test;fopen;0;0;0;0
test;sysconf;0;0;0;0
test;towlower;0;0;0;0
test;wctob;0;0;0;0
test;fdopendir;0;0;0;0
test;towupper;0;0;0;0
test;fstatfs;0;0;0;0
test;__cxa_atexit;0;0;0;0
test;exit;0;0;0;0
test;__fprintf_chk;0;0;0;0
test;re_compile_pattern;0;0;0;0
test;fflush_unlocked;0;0;0;0
test;mbsinit;0;0;0;0
test;sigaltstack;0;0;0;0
test;iswprint;0;0;0;0
test;pcre_assign_jit_stack;0;0;0;0
test;strstr;0;0;0;0
test;__ctype_tolower_loc;0;0;0;0
test;__ctype_b_loc;0;0;0;0
test;pcre_jit_stack_free;0;0;0;0
test;free;0;0;0;0
test;__libc_start_main;0;0;0;0
test;__gmon_start__;0;0;0;0
test;__cxa_finalize;0;0;0;0
test;__asm_rep_movsb_memcpy;0;0;0;0
test;__asm_rep_movsd_memcpy;0;0;0;0
test;__asm_movaps;0;0;0;0
test;__asm_hlt;0;0;0;0
test;__asm_in;0;0;0;0
test;__asm_movdqa;0;0;0;0
test;__asm_movups;0;0;0;0
test;__asm_pxor;0;0;0;0
test;__asm_movq;0;0;0;0
test;__asm_punpcklqdq;0;0;0;0
test;__asm_rep_stosq_memset;0;0;0;0
test;__asm_rep_movsq_memcpy;0;0;0;0
test;__asm_movdqu;0;0;0;0
test;__asm_punpcklwd;0;0;0;0
test;__asm_punpckhwd;0;0;0;0
test;__asm_pand;0;0;0;0
test;__asm_packuswb;0;0;0;0
test;__asm_shufps;0;0;0;0
test;__asm_punpckldq;0;0;0;0
test;__asm_punpckhdq;0;0;0;0
test;__asm_paddq;0;0;0;0
test;__asm_psrldq;0;0;0;0
test;__asm_movq.1;0;0;0;0
test;__asm_pcmpeqd;0;0;0;0
test;__asm_pandn;0;0;0;0
test;__asm_cvtsi2sd;0;0;0;0
test;__asm_mulsd;0;0;0;0
test;__asm_divsd;0;0;0;0
test;__asm_addsd;0;0;0;0
test;__asm_movaps.2;0;0;0;0
test;__asm_movss;0;0;0;0
test;__asm_comiss;0;0;0;0
test;__asm_addss;0;0;0;0
test;__asm_cvtsi2ss;0;0;0;0
test;__asm_addss.3;0;0;0;0
test;__asm_divss;0;0;0;0
test;__asm_cvttss2si;0;0;0;0
test;__asm_subss;0;0;0;0
test;__asm_divss.4;0;0;0;0
test;__asm_mulss;0;0;0;0
test;__asm_mulss.5;0;0;0;0
test;__asm_in.6;0;0;0;0
test;__asm_shufpd;0;0;0;0
test;__asm_movhps;0;0;0;0
test;__asm_psubq;0;0;0;0
test;__asm_movd;0;0;0;0
test;__asm_pshufd;0;0;0;0
test;__readfsqword;0;0;0;0
test;__decompiler_undefined_function_0;0;0;0;0
test;__decompiler_undefined_function_1;0;0;0;0
test;__decompiler_undefined_function_2;0;0;0;0
test;__decompiler_undefined_function_3;0;0;0;0
test;__decompiler_undefined_function_5;0;0;0;0
test;__decompiler_undefined_function_7;0;0;0;0
test;__decompiler_undefined_function_8;0;0;0;0
test;llvm.trap;0;0;0;0
