FunctionName;NumInstructions;NumAllocaInvocations;NumEscapingAllocaInvocations;NumDynamicallySizedAllocaInvocations;NumDynamicallySizedEscapingAllocaInvocations;TotalStaticallyAllocatedStackMemory;TotalStaticallyAllocatedEscapingStackMemory
caml_abs_float;30;0;0;0;0;0;0
caml_add_float;32;0;0;0;0;0;0
caml_sub_float;32;0;0;0;0;0;0
caml_mul_float;32;0;0;0;0;0;0
caml_div_float;32;0;0;0;0;0;0
caml_exp_float;30;0;0;0;0;0;0
caml_trunc;2;0;0;0;0;0;0
caml_trunc_float;30;0;0;0;0;0;0
caml_round;2;0;0;0;0;0;0
caml_round_float;30;0;0;0;0;0;0
caml_floor_float;30;0;0;0;0;0;0
caml_nextafter;2;0;0;0;0;0;0
caml_nextafter_float;32;0;0;0;0;0;0
caml_fma;2;0;0;0;0;0;0
caml_fma_float;34;0;0;0;0;0;0
caml_fmod_float;32;0;0;0;0;0;0
caml_frexp_float;95;6;5;0;0;156;152
caml_ldexp_float_unboxed;3;0;0;0;0;0;0
caml_ldexp_float;32;0;0;0;0;0;0
caml_log_float;30;0;0;0;0;0;0
caml_log10_float;30;0;0;0;0;0;0
caml_modf_float;127;7;6;0;0;168;160
caml_sqrt_float;30;0;0;0;0;0;0
caml_power_float;32;0;0;0;0;0;0
caml_sin_float;30;0;0;0;0;0;0
caml_sinh_float;30;0;0;0;0;0;0
caml_cos_float;30;0;0;0;0;0;0
caml_cosh_float;30;0;0;0;0;0;0
caml_tan_float;30;0;0;0;0;0;0
caml_tanh_float;30;0;0;0;0;0;0
caml_asin_float;30;0;0;0;0;0;0
caml_acos_float;30;0;0;0;0;0;0
caml_atan_float;30;0;0;0;0;0;0
caml_atan2_float;32;0;0;0;0;0;0
caml_ceil_float;30;0;0;0;0;0;0
caml_hypot;2;0;0;0;0;0;0
caml_hypot_float;32;0;0;0;0;0;0
caml_expm1;2;0;0;0;0;0;0
caml_log1p;2;0;0;0;0;0;0
caml_expm1_float;30;0;0;0;0;0;0
caml_log1p_float;30;0;0;0;0;0;0
caml_copysign;2;0;0;0;0;0;0
caml_copysign_float;32;0;0;0;0;0;0
caml_signbit;4;0;0;0;0;0;0
caml_signbit_float;5;0;0;0;0;0;0
caml_neq_float;7;0;0;0;0;0;0
caml_float_compare_unboxed;12;0;0;0;0;0;0
caml_eq_float;7;0;0;0;0;0;0
caml_le_float;7;0;0;0;0;0;0
caml_lt_float;7;0;0;0;0;0;0
caml_ge_float;7;0;0;0;0;0;0
caml_gt_float;7;0;0;0;0;0;0
caml_float_compare;18;0;0;0;0;0;0
caml_classify_float_unboxed;15;0;0;0;0;0;0
caml_classify_float;16;0;0;0;0;0;0
caml_string_length;12;0;0;0;0;0;0
caml_ml_string_length;14;0;0;0;0;0;0
caml_ml_bytes_length;14;0;0;0;0;0;0
caml_string_is_c_safe;15;0;0;0;0;0;0
caml_create_string;7;0;0;0;0;0;0
caml_create_bytes;7;0;0;0;0;0;0
caml_string_get;24;0;0;0;0;0;0
caml_bytes_get;24;0;0;0;0;0;0
caml_bytes_set;23;0;0;0;0;0;0
caml_string_set;23;0;0;0;0;0;0
caml_string_get16;30;0;0;0;0;0;0
caml_bytes_get16;30;0;0;0;0;0;0
caml_string_get32;41;0;0;0;0;0;0
caml_bytes_get32;41;0;0;0;0;0;0
caml_string_get64;65;0;0;0;0;0;0
caml_bytes_get64;2;0;0;0;0;0;0
caml_bytes_set16;28;0;0;0;0;0;0
caml_bytes_set32;42;0;0;0;0;0;0
caml_bytes_set64;60;0;0;0;0;0;0
caml_string_equal;28;0;0;0;0;0;0
caml_bytes_equal;28;0;0;0;0;0;0
caml_string_notequal;28;0;0;0;0;0;0
caml_bytes_notequal;28;0;0;0;0;0;0
caml_string_compare;37;0;0;0;0;0;0
caml_bytes_compare;37;0;0;0;0;0;0
caml_string_lessthan;36;0;0;0;0;0;0
caml_bytes_lessthan;36;0;0;0;0;0;0
caml_string_lessequal;34;0;0;0;0;0;0
caml_bytes_lessequal;35;0;0;0;0;0;0
caml_string_greaterthan;34;0;0;0;0;0;0
caml_bytes_greaterthan;35;0;0;0;0;0;0
caml_string_greaterequal;36;0;0;0;0;0;0
caml_bytes_greaterequal;36;0;0;0;0;0;0
caml_blit_bytes;9;0;0;0;0;0;0
caml_blit_string;9;0;0;0;0;0;0
caml_fill_bytes;8;0;0;0;0;0;0
caml_fill_string;8;0;0;0;0;0;0
caml_alloc_sprintf;29;2;1;0;0;152;24
caml_string_of_bytes;1;0;0;0;0;0;0
caml_bytes_of_string;1;0;0;0;0;0;0
caml_array_length;5;0;0;0;0;0;0
caml_is_double_array;6;0;0;0;0;0;0
caml_array_get_addr;14;0;0;0;0;0;0
caml_floatarray_get;41;0;0;0;0;0;0
caml_array_get;60;0;0;0;0;0;0
caml_array_set_addr;14;0;0;0;0;0;0
caml_floatarray_set;18;0;0;0;0;0;0
caml_array_set;37;0;0;0;0;0;0
caml_floatarray_unsafe_get;31;0;0;0;0;0;0
caml_array_unsafe_get;43;0;0;0;0;0;0
caml_floatarray_unsafe_set;8;0;0;0;0;0;0
caml_array_unsafe_set;18;0;0;0;0;0;0
caml_floatarray_create;48;0;0;0;0;0;0
caml_make_vect;276;5;5;0;0;152;152
caml_make_float_vect;2;0;0;0;0;0;0
caml_make_array;110;5;5;0;0;152;152
caml_floatarray_blit;12;0;0;0;0;0;0
caml_array_blit;91;0;0;0;0;0;0
caml_array_sub;22;3;1;0;0;24;8
caml_array_gather;226;1;1;0;0;64;64
caml_array_append;32;3;1;0;0;48;16
caml_array_concat;83;3;3;0;0;384;384
caml_array_fill;286;0;0;0;0;0;0
caml_open_descriptor_in;44;0;0;0;0;0;0
caml_open_descriptor_out;45;0;0;0;0;0;0
caml_close_channel;47;0;0;0;0;0;0
caml_channel_size;43;0;0;0;0;0;0
caml_channel_binary_mode;6;0;0;0;0;0;0
caml_flush_partial;55;0;0;0;0;0;0
caml_flush;5;0;0;0;0;0;0
caml_putword;61;0;0;0;0;0;0
caml_putblock;29;0;0;0;0;0;0
caml_really_putblock;40;0;0;0;0;0;0
caml_seek_out;16;0;0;0;0;0;0
caml_pos_out;10;0;0;0;0;0;0
caml_do_read;5;0;0;0;0;0;0
caml_refill;43;0;0;0;0;0;0
caml_getword;70;0;0;0;0;0;0
caml_getblock;73;0;0;0;0;0;0
caml_really_getblock;15;0;0;0;0;0;0
caml_seek_in;37;0;0;0;0;0;0
caml_pos_in;11;0;0;0;0;0;0
caml_input_scan_line;92;0;0;0;0;0;0
caml_finalize_channel;89;0;0;0;0;0;0
caml_alloc_channel;10;0;0;0;0;0;0
compare_channel;13;0;0;0;0;0;0
hash_channel;4;0;0;0;0;0;0
caml_ml_open_descriptor_in;66;0;0;0;0;0;0
caml_ml_open_descriptor_out;67;0;0;0;0;0;0
caml_ml_set_channel_name;16;0;0;0;0;0;0
caml_ml_out_channels_list;80;4;4;0;0;88;88
caml_channel_descriptor;16;0;0;0;0;0;0
caml_ml_close_channel;36;0;0;0;0;0;0
caml_ml_channel_size;55;2;2;0;0;72;72
caml_ml_channel_size_64;48;2;2;0;0;72;72
caml_ml_set_binary_mode;1;0;0;0;0;0;0
caml_ml_flush;47;2;2;0;0;72;72
caml_ml_output_char;57;3;3;0;0;80;80
caml_ml_output_int;46;3;3;0;0;80;80
caml_ml_output_bytes;93;5;5;0;0;96;96
caml_ml_output;2;0;0;0;0;0;0
caml_ml_seek_out;59;3;3;0;0;80;80
caml_ml_seek_out_64;63;3;3;0;0;80;80
caml_ml_pos_out;22;0;0;0;0;0;0
caml_ml_pos_out_64;15;0;0;0;0;0;0
caml_ml_input_char;53;2;2;0;0;72;72
caml_ml_input_int;41;2;2;0;0;72;72
caml_ml_input;139;5;5;0;0;96;96
caml_ml_seek_in;80;3;3;0;0;80;80
caml_ml_seek_in_64;84;3;3;0;0;80;80
caml_ml_pos_in;23;0;0;0;0;0;0
caml_ml_pos_in_64;16;0;0;0;0;0;0
caml_ml_input_scan_line;40;2;2;0;0;72;72
caml_terminfo_rows;11;0;0;0;0;0;0
caml_output_val;49;2;0;0;0;36;0
extern_value;2063;2;2;0;0;16;16
extern_failwith;3;0;0;0;0;0;0
extern_out_of_memory;3;0;0;0;0;0;0
extern_invalid_argument;3;0;0;0;0;0;0
extern_record_location;123;0;0;0;0;0;0
extern_resize_stack;36;0;0;0;0;0;0
free_extern_output;33;0;0;0;0;0;0
extern_stack_overflow;4;0;0;0;0;0;0
caml_output_value;50;4;4;0;0;88;88
caml_output_value_to_bytes;53;2;0;0;0;36;0
caml_output_value_to_string;2;0;0;0;0;0;0
caml_output_value_to_block;33;2;0;0;0;36;0
caml_output_value_to_buffer;38;2;0;0;0;36;0
caml_output_value_to_malloc;56;2;0;0;0;36;0
caml_serialize_int_1;36;0;0;0;0;0;0
caml_serialize_int_2;40;0;0;0;0;0;0
caml_serialize_int_4;49;0;0;0;0;0;0
caml_serialize_int_8;64;0;0;0;0;0;0
caml_serialize_float_4;49;0;0;0;0;0;0
