FileName;FunctionName;NumAllocaInvocations;NumEscapingAllocaInvocations;NumDynamicallySizedAllocaInvocations;NumDynamicallySizedEscapingAllocaInvocations;TotalStaticallyAllocatedStackMemory;TotalStaticallyAllocatedEscapingStackMemory
llvm-link;rpl_mbrtowc;1;1;0;0;4;4
llvm-link;mbrtowc;0;0;0;0;0;0
llvm-link;print_and_abort;0;0;0;0;0;0
llvm-link;_obstack_begin;0;0;0;0;0;0
llvm-link;_obstack_begin_1;0;0;0;0;0;0
llvm-link;_obstack_newchunk;0;0;0;0;0;0
llvm-link;_obstack_allocated_p;0;0;0;0;0;0
llvm-link;_obstack_free;0;0;0;0;0;0
llvm-link;_obstack_memory_used;0;0;0;0;0;0
llvm-link;rpl_re_compile_pattern;0;0;0;0;0;0
llvm-link;re_compile_internal;7;4;0;0;228;196
llvm-link;nl_langinfo;0;0;0;0;0;0
llvm-link;btowc;0;0;0;0;0;0
llvm-link;free_dfa_content;0;0;0;0;0;0
llvm-link;build_wcs_upper_buffer;4;4;0;0;80;80
llvm-link;build_wcs_buffer;2;2;0;0;68;68
llvm-link;peek_token;1;1;0;0;16;16
llvm-link;parse_reg_exp;0;0;0;0;0;0
llvm-link;lower_subexp;0;0;0;0;0;0
llvm-link;re_dfa_add_node;0;0;0;0;0;0
llvm-link;link_nfa_nodes;0;0;0;0;0;0
llvm-link;calc_eclosure_iter;2;1;0;0;48;24
llvm-link;re_node_set_merge;0;0;0;0;0;0
llvm-link;re_acquire_state_context;0;0;0;0;0;0
llvm-link;free_state;0;0;0;0;0;0
llvm-link;register_state;0;0;0;0;0;0
llvm-link;duplicate_node_closure;0;0;0;0;0;0
llvm-link;re_node_set_insert;0;0;0;0;0;0
llvm-link;parse_branch;0;0;0;0;0;0
llvm-link;parse_expression;10;2;0;0;160;64
llvm-link;peek_token_bracket;0;0;0;0;0;0
llvm-link;parse_bracket_element;1;0;0;0;16;0
llvm-link;build_charclass;0;0;0;0;0;0
llvm-link;build_charclass_op;1;0;0;0;8;0
llvm-link;wctype;0;0;0;0;0;0
llvm-link;rpl_re_set_syntax;0;0;0;0;0;0
llvm-link;rpl_re_compile_fastmap;0;0;0;0;0;0
llvm-link;re_compile_fastmap_iter;7;7;0;0;301;301
llvm-link;rpl_regcomp;0;0;0;0;0;0
llvm-link;rpl_regerror;0;0;0;0;0;0
llvm-link;rpl_regfree;0;0;0;0;0;0
llvm-link;rpl_regexec;0;0;0;0;0;0
llvm-link;re_search_internal;11;5;0;0;440;336
llvm-link;re_string_reconstruct;4;4;0;0;22;22
llvm-link;transit_state_bkref;2;1;0;0;28;24
llvm-link;extend_buffers;0;0;0;0;0;0
llvm-link;check_node_accept_bytes;0;0;0;0;0;0
llvm-link;re_node_set_init_union;0;0;0;0;0;0
llvm-link;merge_state_with_log;1;1;0;0;24;24
llvm-link;sift_states_backward;1;1;0;0;24;24
llvm-link;re_acquire_state;0;0;0;0;0;0
llvm-link;match_ctx_clean;0;0;0;0;0;0
llvm-link;set_regs;2;1;1;0;24;24
llvm-link;check_node_accept;0;0;0;0;0;0
llvm-link;update_cur_sifted_state;5;1;0;0;92;24
llvm-link;check_dst_limits;0;0;0;0;0;0
llvm-link;check_dst_limits_calc_pos_1;0;0;0;0;0;0
llvm-link;re_node_set_add_intersect;0;0;0;0;0;0
llvm-link;sub_epsilon_src_nodes;1;0;0;0;24;0
llvm-link;check_subexp_matching_top;0;0;0;0;0;0
llvm-link;iswctype;0;0;0;0;0;0
llvm-link;get_subexp_sub;0;0;0;0;0;0
llvm-link;check_arrival;4;2;0;0;56;48
llvm-link;check_arrival_expand_ecl;1;0;0;0;24;0
llvm-link;expand_bkref_cache;3;2;0;0;52;48
llvm-link;check_arrival_expand_ecl_sub;0;0;0;0;0;0
llvm-link;rpl_re_match;0;0;0;0;0;0
llvm-link;re_search_stub;0;0;0;0;0;0
llvm-link;rpl_re_search;0;0;0;0;0;0
llvm-link;rpl_re_match_2;0;0;0;0;0;0
llvm-link;rpl_re_search_2;0;0;0;0;0;0
llvm-link;rpl_re_set_registers;0;0;0;0;0;0
llvm-link;last_component;0;0;0;0;0;0
llvm-link;base_len;0;0;0;0;0;0
llvm-link;close_stream;0;0;0;0;0;0
llvm-link;__fpending;0;0;0;0;0;0
llvm-link;cycle_check_init;0;0;0;0;0;0
llvm-link;cycle_check;0;0;0;0;0;0
llvm-link;llvm.ctpop.i64;0;0;0;0;0;0
llvm-link;open_safer;1;1;0;0;24;24
llvm-link;open;0;0;0;0;0;0
llvm-link;hard_locale;1;0;0;0;257;0
llvm-link;i_ring_init;0;0;0;0;0;0
llvm-link;i_ring_empty;0;0;0;0;0;0
llvm-link;i_ring_push;0;0;0;0;0;0
llvm-link;i_ring_pop;0;0;0;0;0;0
llvm-link;locale_charset;0;0;0;0;0;0
llvm-link;mb_width_aux;0;0;0;0;0;0
llvm-link;wcwidth;0;0;0;0;0;0
llvm-link;iswcntrl;0;0;0;0;0;0
llvm-link;mb_copy;0;0;0;0;0;0
llvm-link;is_basic;0;0;0;0;0;0
llvm-link;opendirat;0;0;0;0;0;0
llvm-link;fdopendir;0;0;0;0;0;0
llvm-link;setlocale_null_r;0;0;0;0;0;0
llvm-link;setlocale_null;0;0;0;0;0;0
llvm-link;dup_safer;0;0;0;0;0;0
llvm-link;rpl_fcntl;1;1;0;0;24;24
llvm-link;fcntl;0;0;0;0;0;0
